model,baseline,factor,level,n_wins,n_total,win_rate,p_value,significant
PCReg_GCV,OLS,cv_error,0.1,1015,2025,0.5012345679012346,0.4645865500970533,False
PCReg_GCV,OLS,cv_error,0.2,869,2025,0.4291358024691358,0.999999999927527,False
PCReg_GCV,OLS,learning_rate,0.85,1114,2025,0.5501234567901234,3.5206007037502056e-06,True
PCReg_GCV,OLS,learning_rate,0.9,1087,2025,0.5367901234567901,0.0005005452360960405,True
PCReg_GCV,OLS,learning_rate,0.95,1125,2025,0.5555555555555556,3.135637022996137e-07,True
PCReg_GCV,OLS,rate_effect,0.8,1111,2025,0.548641975308642,6.539247784528454e-06,True
PCReg_GCV,OLS,rate_effect,0.85,1084,2025,0.5353086419753087,0.0007977701705711131,True
PCReg_GCV,OLS,rate_effect,0.9,1131,2025,0.5585185185185185,7.597002707012644e-08,True
PCReg_CV_Wrong,OLS,Overall,All,3439,6075,0.5660905349794239,3.359870338341909e-25,True
PCReg_CV_Wrong,OLS,n_lots,5,1239,2025,0.6118518518518519,3.1696851651406336e-24,True
PCReg_CV_Wrong,OLS,n_lots,10,1161,2025,0.5733333333333334,2.2094032237399074e-11,True
PCReg_CV_Wrong,OLS,n_lots,30,1039,2025,0.5130864197530864,0.1239282406547363,False
PCReg_CV_Wrong,OLS,target_correlation,0.0,1190,2025,0.5876543209876544,1.552688710185596e-15,True
PCReg_CV_Wrong,OLS,target_correlation,0.5,1115,2025,0.5506172839506173,2.8530841990297688e-06,True
PCReg_CV_Wrong,OLS,target_correlation,0.9,1134,2025,0.56,3.6426500035313034e-08,True
PCReg_CV_Wrong,OLS,cv_error,0.01,1430,2025,0.7061728395061728,3.0119882423447645e-79,True
PCReg_CV_Wrong,OLS,cv_error,0.1,1062,2025,0.5244444444444445,0.014698795869100112,True
PCReg_CV_Wrong,OLS,cv_error,0.2,947,2025,0.4676543209876543,0.9983282404752064,False
PCReg_CV_Wrong,OLS,learning_rate,0.85,1137,2025,0.5614814814814815,1.7162614524421734e-08,True
PCReg_CV_Wrong,OLS,learning_rate,0.9,1119,2025,0.5525925925925926,1.2071506403924549e-06,True
PCReg_CV_Wrong,OLS,learning_rate,0.95,1183,2025,0.5841975308641976,1.8210689281301296e-14,True
PCReg_CV_Wrong,OLS,rate_effect,0.8,1158,2025,0.5718518518518518,5.4011742696931545e-11,True
PCReg_CV_Wrong,OLS,rate_effect,0.85,1131,2025,0.5585185185185185,7.597002707012644e-08,True
PCReg_CV_Wrong,OLS,rate_effect,0.9,1150,2025,0.5679012345679012,5.370576378715753e-10,True
