Contrast,A,B,mean(A),std(A),mean(B),std(B),Paired,Parametric,T,dof,alternative,p-unc,p-corr,p-adjust,BF10,hedges,sig,effect_interpretation
model_name,BayesianRidgeModel,Lasso,0.14089510918053766,0.7856842692918158,0.20136783741552441,1.0043233606670563,True,True,-9.0301524468354,6074.0,two-sided,2.2634905408154805e-19,1.1770150812240498e-17,holm,5.51e+15,-0.06706441259810532,***,negligible (favors_second)
model_name,BayesianRidgeModel,OLS,0.14089510918053766,0.7856842692918158,0.1146305528980115,0.7557130487682423,True,True,5.423253880248717,6074.0,two-sided,6.078275458664958e-08,1.8234826375994876e-06,holm,3.379e+04,0.034070347877290075,***,negligible (favors_first)
model_name,BayesianRidgeModel,OLS_LearnOnly,0.14089510918053766,0.7856842692918158,0.8658043127910027,2.5266069928319084,True,True,-26.58466132882444,6074.0,two-sided,2.1094088440523438e-147,1.6242448099203048e-145,holm,1.863e+143,-0.3874274920309579,***,small (favors_second)
model_name,BayesianRidgeModel,PCReg_CV,0.14089510918053766,0.7856842692918158,0.10917052454797678,0.4353804027583829,True,True,3.7382755598011475,6074.0,two-sided,0.00018698977332211385,0.004291093731636184,holm,15.495,0.04994432499492935,**,negligible (favors_first)
model_name,BayesianRidgeModel,PCReg_CV_Wrong,0.14089510918053766,0.7856842692918158,0.10938379848394758,0.4357842020212949,True,True,3.7116929581953015,6074.0,two-sided,0.00020771962434255753,0.004291093731636184,holm,14.038,0.04959775502755546,**,negligible (favors_first)
model_name,BayesianRidgeModel,PCReg_ConstrainOnly,0.14089510918053766,0.7856842692918158,0.07983251215010094,0.263705291215314,True,True,6.722976562378308,6074.0,two-sided,1.942995187437169e-11,7.577681231004959e-10,holm,8.594e+07,0.10419229054320592,***,negligible (favors_first)
model_name,BayesianRidgeModel,PCReg_GCV,0.14089510918053766,0.7856842692918158,0.12199847651735,0.4799527545198226,True,True,2.2270205253774344,6074.0,two-sided,0.025982416360741327,0.3117889963288959,holm,0.172,0.02902439592428291,,negligible (favors_first)
model_name,BayesianRidgeModel,PCReg_LogMSE,0.14089510918053766,0.7856842692918158,0.08620871948057858,0.2887755072328092,True,True,6.406729301038003,6074.0,two-sided,1.5983235802191037e-10,5.753964888788773e-09,holm,1.095e+07,0.09238557093403628,***,negligible (favors_first)
model_name,BayesianRidgeModel,PCReg_LogMSE_CV,0.14089510918053766,0.7856842692918158,0.1525121502281473,0.6452953813711665,True,True,-1.5174409548598566,6074.0,two-sided,0.12920743238368887,1.0,holm,0.046,-0.016157910940514664,,negligible (favors_second)
model_name,BayesianRidgeModel,PCReg_MSE,0.14089510918053766,0.7856842692918158,0.10616379836432192,0.33283960335162477,True,True,4.001094063735885,6074.0,two-sided,6.379987957338341e-05,0.0015945504653934385,holm,42.715,0.057559792458676456,**,negligible (favors_first)
model_name,BayesianRidgeModel,PCReg_MSE_CV,0.14089510918053766,0.7856842692918158,0.19940858515800206,0.68797115270724,True,True,-6.110498124783078,6074.0,two-sided,1.0548103743052946e-09,3.691836310068531e-08,holm,1.737e+06,-0.07923380697540258,***,negligible (favors_second)
model_name,BayesianRidgeModel,Ridge,0.14089510918053766,0.7856842692918158,0.15798748535884638,1.0643719388877546,True,True,-1.606627658030513,6074.0,two-sided,0.10818805132810538,1.0,holm,0.053,-0.01827041239704349,,negligible (favors_second)
model_name,Lasso,OLS,0.20136783741552441,1.0043233606670563,0.1146305528980115,0.7557130487682423,True,True,9.669483842247184,6074.0,two-sided,5.847343780914615e-22,3.157565641693892e-20,holm,1.991e+18,0.09758822091482318,***,negligible (favors_first)
model_name,Lasso,OLS_LearnOnly,0.20136783741552441,1.0043233606670563,0.8658043127910027,2.5266069928319084,True,True,-23.749306772037215,6074.0,two-sided,2.659002179047203e-119,1.8613015253330423e-117,holm,1.683e+115,-0.3455800604433377,***,small (favors_second)
model_name,Lasso,PCReg_CV,0.20136783741552441,1.0043233606670563,0.10917052454797678,0.4353804027583829,True,True,8.392201938816203,6074.0,two-sided,5.876261070134695e-17,2.9288597842476914e-15,holm,2.284e+13,0.11910716615087902,***,negligible (favors_first)
model_name,Lasso,PCReg_CV_Wrong,0.20136783741552441,1.0043233606670563,0.10938379848394758,0.4357842020212949,True,True,8.375626444190154,6074.0,two-sided,6.754441371493053e-17,3.2421318583166652e-15,holm,1.991e+13,0.11881420388991829,***,negligible (favors_first)
model_name,Lasso,PCReg_ConstrainOnly,0.20136783741552441,1.0043233606670563,0.07983251215010094,0.263705291215314,True,True,10.20529939982415,6074.0,two-sided,2.9439830121068966e-24,1.648630486779862e-22,holm,3.745e+20,0.16551595367589847,***,negligible (favors_first)
model_name,Lasso,PCReg_GCV,0.20136783741552441,1.0043233606670563,0.12199847651735,0.4799527545198226,True,True,7.631797172596086,6074.0,two-sided,2.6721996308482005e-14,1.1490458412647262e-12,holm,5.518e+10,0.1008328165027774,***,negligible (favors_first)
model_name,Lasso,PCReg_LogMSE,0.20136783741552441,1.0043233606670563,0.08620871948057858,0.2887755072328092,True,True,10.087235269937558,6074.0,two-sided,9.669097265732515e-24,5.318003496152883e-22,holm,1.154e+20,0.15583460997011075,***,negligible (favors_first)
model_name,Lasso,PCReg_LogMSE_CV,0.20136783741552441,1.0043233606670563,0.1525121502281473,0.6452953813711665,True,True,5.829878573165226,6074.0,two-sided,5.8318899635084585e-09,1.9245236879577914e-07,holm,3.286e+05,0.05787419673563097,***,negligible (favors_first)
